"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,freemium,132,501754,128,26,1726717
"2023-06-01",yandex,cpc,prof-frontend,97,1827336,92,15,1430340
"2023-06-01",yandex,cpc,prof-python,85,1253608,84,12,954735
"2023-06-01",vk,cpc,prof-python,99,145348,67,7,588004
"2023-06-01",vk,cpc,freemium-frontend,130,78763,84,9,552181
"2023-06-01",yandex,cpc,base-python,37,173465,34,8,547928
"2023-06-01",vk,cpc,prof-java,87,132757,54,3,383918
"2023-06-01",yandex,cpc,prof-java,64,991171,64,5,355987
"2023-06-01",yandex,cpc,base-frontend,54,191275,53,4,322155
"2023-06-09",telegram,cpp,base-java,5,,2,2,302384
"2023-06-20",telegram,cpp,base-java,4,,2,2,302384
"2023-06-01",vk,cpc,prof-data-analytics,77,106864,57,5,253444
"2023-06-01",vk,cpc,freemium-python,67,64706,45,3,249186
"2023-06-01",yandex,cpc,prof-professions-brand,25,123375,24,4,230307
"2023-06-01",yandex,cpc,prof-data-analytics,17,201507,17,2,220264
